source,target,cosine_similarity
4684,14729,0.9951
4684,14738,0.9951
4684,14739,0.9951
4684,14741,0.9951
4684,14744,0.9951
4684,14745,0.9951
4684,14746,0.9951
4684,14748,0.9951
4684,14749,0.9951
4684,14750,0.9951
4684,14751,0.9951
4684,14752,0.9951
4684,18524,0.9951
556,569,0.9951
556,4684,0.9951
561,569,0.9951
561,4684,0.9951
564,569,0.9951
564,4684,0.9951
567,569,0.9951
567,4684,0.9951
568,569,0.9951
568,4684,0.9951
569,577,0.9951
569,578,0.9951
569,581,0.9951
569,588,0.9951
569,589,0.9951
569,2922,0.9951
569,6747,0.9951
569,6758,0.9951
569,6768,0.9951
569,6770,0.9951
569,6774,0.9951
569,8098,0.9951
569,9397,0.9951
569,14714,0.9951
569,14723,0.9951
569,14724,0.9951
577,4684,0.9951
578,4684,0.9951
581,4684,0.9951
588,4684,0.9951
589,4684,0.9951
2922,4684,0.9951
4684,6747,0.9951
4684,6758,0.9951
4684,6768,0.9951
4684,6770,0.9951
4684,6774,0.9951
4684,8098,0.9951
4684,9397,0.9951
4684,14714,0.9951
4684,14723,0.9951
4684,14724,0.9951
7214,15457,0.9938
554,6772,0.9934
6772,14727,0.9932
554,6745,0.9924
6745,14727,0.9923
560,586,0.9921
571,586,0.9921
585,586,0.9921
586,10100,0.9921
586,16114,0.9921
12353,13914,0.9915
12353,16119,0.9915
12353,16247,0.9915
4700,13616,0.9911
562,9333,0.9904
562,14578,0.9904
8548,12153,0.9900
6686,19191,0.9880
6745,6772,0.9875
2086,17940,0.9866
12736,14576,0.9862
601,9399,0.9859
5710,13914,0.9857
5710,16119,0.9857
5710,16247,0.9857
1995,10251,0.9856
12748,17940,0.9856
12367,13914,0.9841
12367,16119,0.9841
12367,16247,0.9841
2086,12748,0.9833
2085,4668,0.9830
4668,6751,0.9830
4668,12743,0.9830
287,12444,0.9823
8735,12827,0.9815
4121,13914,0.9810
4121,16119,0.9810
4121,16247,0.9810
4121,16030,0.9807
5739,14366,0.9806
10966,12496,0.9803
15457,17024,0.9803
12353,12367,0.9802
554,14725,0.9802
554,558,0.9795
7214,17024,0.9785
2293,14733,0.9780
4121,5710,0.9777
554,570,0.9776
14725,14727,0.9774
2021,8489,0.9774
12754,14725,0.9760
2021,2887,0.9758
16975,18039,0.9752
1487,12170,0.9749
